26,(-)-Lobeline Hydrochloride,"{(-)-lobeline,(-)-lobeline hydrochloride,(-)-lobeline}","{101615,45358761,46202,124081008}","{CHEMBL1257005,CHEMBL1321024}",{},{C07475},{}
27,Isobutyramide,{isobutyramide},{68424},{CHEMBL352219},{},{},{}
28,Phenyl Salicylate,{phenyl salicylate},{8361},{CHEMBL1339216},{CHEBI:34918},{C14163},{}
29,(R)-(-)-Mandelic Acid,{(r)-(-)-mandelic acid},{11914},{CHEMBL292411},{CHEBI:17656},{},{}
30,Methacrylic Acid,{methacrylic acid},{4093},{CHEMBL1213531},{CHEBI:25219},{},{}
31,Cyclobutanol,{cyclobutanol},{76218},{CHEMBL449234},{},{},{}
32,4-(Benzyloxy)Phenol,"{4-(benzyloxy)phenol,monobenzone}",{7638},{CHEMBL1388},{CHEBI:34380},{C14244},{D05072}
33,Acetohydroxamic Acid,{acetohydroxamic acid},{1990},{CHEMBL734},"{CHEBI:27777,CHEBI:49029}",{C06808},{D00220}
34,Primaquine Diphosphate,{primaquine diphosphate},{6135},{CHEMBL43128},{},{},{}
35,Succinonitrile,{succinonitrile},{8062},{CHEMBL1562258},{},{},{}
36,Tannic Acid,"{tannic acid,tannic acid powder,tannic acid}","{16129778,16129878,16131300,16134267,16133892,134129492}","{CHEMBL506247,CHEMBL3039201}","{CHEBI:81066,CHEBI:75211}",{C13452},{D01959}
37,Bromopyruvic Acid,{bromopyruvic acid},{70684},{CHEMBL177837},"{CHEBI:95046,CHEBI:131461}",{},{}
38,2-Hydroxybenzyl Alcohol,"{2-hydroxybenzyl alcohol,saligenin}",{5146},{CHEMBL280802},{CHEBI:16464},{C02323},{}
39,DL-Proline,"{proline,dl-proline,proline}",{614},{CHEMBL72275},{CHEBI:26271},{C16435},{}
40,Crocin,{crocin},"{5281233,24721245,3510570,56841542,44630212,126963628,133562570}",{CHEMBL446785},{CHEBI:79068},{C08589},{}
41,Bromohexine Hydrochloride,"{bromohexine,bromohexine hydrochloride,bromohexine}",{5702220},{CHEMBL1319139},{CHEBI:31303},{},{}
42,"3,3'-Diethylthiadicarbocyanine Iodide","{3,3'-diethylthiadicarbocyanine iodide,dithiazanine iodide}","{6433197,5702697,91869351}",{CHEMBL421701},{CHEBI:228275},{C18391},{}
43,Ciprofloxacin,{ciprofloxacin},{2764},{CHEMBL8},{CHEBI:100241},{C05349},{D00186}
44,(+)-4-Cholesten-3-one,{(+)-4-cholesten-3-one},{91477},{CHEMBL63243},{CHEBI:16175},{},{}
45,Lithium Benzoate,{lithium benzoate},{2724073},{},{},{},{}
46,Zirconium(IV) Oxide,{zirconium(iv) oxide},{62395},{},{},{},{}
47,4-Hexylresorcinol,{4-hexylresorcinol},{3610},{CHEMBL443605},{CHEBI:93749},{},{}
48,Lithium Citrate Hydrate,"{lithium citrate,lithium citrate hydrate,lithium citrate}",{17749107},"{CHEMBL2103738,CHEMBL1201170}",{CHEBI:64754},{},{D04749}
49,beta-Butyrolactone,{beta-butyrolactone},{18303},{CHEMBL1361205},{CHEBI:82296},{C19201},{}
50,4-Methylpyrazole,{4-methylpyrazole},{3406},{CHEMBL1308},{CHEBI:5141},{C07837},{}
51,Sodium Diethyldithiocarbamate Trihydrate,"{sodium diethyldithiocarbamate,sodium diethyldithiocarbamate trihydrate,sodium diethyldithiocarbamate}",{517546},{CHEMBL3185333},{},{C19599},{}
52,Sodium Nitroprusside ,{sodium nitroprusside},{11953895},"{CHEMBL136478,CHEMBL2097081}",{CHEBI:9179},{C07695},{D00614}
53,Gallium(III) Nitrate Hydrate,"{gallium(iii) nitrate,gallium(iii) nitrate hydrate,gallium(iii) nitrate,gallium nitrate}","{11550823,61635}",{CHEMBL1200983},{},{},{D00940}
54,Pentaerythritol,{pentaerythritol},{8285},{CHEMBL3186112},{CHEBI:134760},{},{D08331}
55,D-Sorbitol,{d-sorbitol},{5780},{CHEMBL1682},{CHEBI:17924},{C00794},{D00096}
56,Triacetin,{triacetin},{5541},{CHEMBL1489254},{CHEBI:9661},{},{D00384}
57,Saccharin,{saccharin},{5143},{CHEMBL310671},{CHEBI:32111},{C12283},{D01085}
58,Quinoline,{quinoline},{7047},{CHEMBL14474},{CHEBI:17362},{C06413},{}
59,Benzoic Acid,{benzoic acid},{243},{CHEMBL541},{CHEBI:30746},{C00180},{D00038}
60,Sodium Molybdate,{sodium molybdate},{61424},{CHEMBL1801596},{CHEBI:75215},{C15455},{}
61,Benzyltrimethylammonium Hydroxide,{benzyltrimethylammonium hydroxide},{66854},{CHEMBL3188269},{},{},{}
62,Azelaic Acid,{azelaic acid},{2266},{CHEMBL1238},{CHEBI:48131},{C08261},{D03034}
63,Domiphen Bromide,{domiphen bromide},{10866},{CHEMBL486696},{CHEBI:31514},{},{D01588}
64,5-Chloro-8-Hydroxy-7-Iodoquinoline,"{5-chloro-8-hydroxy-7-iodoquinoline,clioquinol}",{2788},{CHEMBL497},{CHEBI:74460},{},{D03538}
65,5-Chlorosalicylanilide,{5-chlorosalicylanilide},{14869},{CHEMBL1892375},{},{},{}
66,8-Hydroxyquinoline,{8-hydroxyquinoline},{1923},{CHEMBL310555},{CHEBI:48981},{C19434},{}
67,Nialamide,{nialamide},{4472},{CHEMBL1256841},{CHEBI:94510},{},{D07337}
68,"2,5-Dihydrofuran","{2,5-dihydrofuran}",{15570},{CHEMBL117135},{},{},{}
69,Chlorothymol,"{4-chloro-2-isopropyl-5-methylphenol,chlorothymol}",{6982},{CHEMBL1441646},{},{},{D07681}
70,N-Acetylprocainamide,"{n-acetylprocainamide,acecainide}",{4342},{CHEMBL1097},{CHEBI:60728},{},{}
71,4-(Chloromethyl)Benzoyl Chloride,{4-(chloromethyl)benzoyl chloride},{70136},{},{},{},{}
72,Azetidine,{azetidine},{10422},{CHEMBL2171713},{CHEBI:30968},{},{}
73,Oxacillin Sodium Salt,"{oxacillin sodium,oxacillin sodium salt,oxacillin sodium}",{23667631},{CHEMBL693},{CHEBI:52134},{},{}
74,Sebacic Acid,{sebacic acid},{5192},{CHEMBL1232164},{CHEBI:41865},{C08277},{}
75,Cetylpyridinium Bromide Hydrate,"{cetylpyridinium bromide,cetylpyridinium bromide hydrate,cetylpyridinium bromide}",{16211806},{CHEMBL1710321},{},{},{}
76,Khellin,{khellin},{3828},{CHEMBL44746},{CHEBI:6133},{C09010},{}
77,"Oleic Acid, Potassium","{oleic acid,potassium,potassium oleate}",{23665571},{CHEMBL3122151},{},{},{}
78,2-Benzylimidazoline,"{2-benzylimidazoline,tolazoline}",{5504},{CHEMBL770},{CHEBI:28502},{C07147},{D08614}
79,Trypan Blue,{trypan blue},"{6296,6297,135442966,4407718,101417452,135421783,135903069}","{CHEMBL1640,CHEMBL177987,CHEMBL1089641,CHEMBL1206040}","{CHEBI:78897,CHEBI:78900,CHEBI:78899}",{C19307},{}
80,"4,4'-DDT","{4,4'-ddt}",{3036},{CHEMBL416898},{CHEBI:16130},{},{}
81,1-Naphthol,{1-naphthol},{7005},{CHEMBL122617},{CHEBI:10319},{C11714},{}
82,Sodium Cacodylate Trihydrate,"{sodium cacodylate,sodium cacodylate trihydrate,sodium cacodylate,cacodylic acid,dimethylarsinic acid}",{23679059},{CHEMBL1231644},{CHEBI:48765},{},{}
83,Diethanolamine,{diethanolamine},{8113},{CHEMBL119604},{CHEBI:28123},{C06772},{D02337}
84,Arecolin Hydrobromide,"{arecolin,arecolin hydrobromide,arecolin}",{2230},{CHEMBL7303},{CHEBI:2814},{C10129},{}
85,Captan,{captan},{8606},{CHEMBL388676},{CHEBI:34608},{C14438},{}
86,Levothyroxine Sodium Hydrate,"{levothyroxine sodium,levothyroxine sodium hydrate,levothyroxine sodium}","{23667619,23666112}",{CHEMBL2103741},"{CHEBI:6447,CHEBI:6446}",{C08212},{D01010}
87,Rose Bengal,{rose bengal},{25474},{CHEMBL1208422},{CHEBI:87202},{C20347},{}
88,Ethoxzolamide,{ethoxzolamide},{3295},{CHEMBL18},{CHEBI:101096},{},{D02441}
89,Potassium Clavulanate,{potassium clavulanate},{23665591},{CHEMBL1003},{CHEBI:85264},{},{D02370}
90,Carprofen,{carprofen},{2581},{CHEMBL1316},{CHEBI:364453},{C18364},{D03410}
91,Phenazopyridine Hydrochloride,"{phenazopyridine,phenazopyridine hydrochloride,phenazopyridine}",{8691},"{CHEMBL1201022,CHEMBL1606101}",{CHEBI:71419},"{C19290,C07429}",{D05450}
92,Imazamox,{imazamox},{86137},{CHEMBL1881028},{CHEBI:83742},{C18598},{}
93,Copper(II) D-Gluconate,{copper(ii) d-gluconate},{10692},{},{CHEBI:31431},{},{}
94,Magnesium Phosphate Hydrate,"{magnesium phosphate,magnesium phosphate hydrate,magnesium phosphate}",{6096954},{},{},{},{}
95,Calcium L-Ascorbate Dihydrate,"{calcium l-ascorbate,calcium l-ascorbate dihydrate,calcium l-ascorbate}","{16211195,118988852,54682536}",{CHEMBL3184533},{},{},{}
96,Calcium Citrate Tetrahydrate,"{calcium citrate,calcium citrate tetrahydrate,calcium citrate}",{5282392},{},{},{},{D00933}
97,"(S,R)-Noscapine","{(s,r)-noscapine}",{4544},{CHEMBL402487},{CHEBI:110185},{},{}
98,Chlorobutanol,{chlorobutanol},{5977},{CHEMBL1439973},{CHEBI:134813},{},{D01942}
99,Allyl Iso-Thiocyanate,{allyl iso-thiocyanate},{16211854},{},{},{},{}
100,Bromoform,{bromoform},{5558},{CHEMBL345248},{CHEBI:38682},{C14707},{}
101,"2,4-Thiazolidinedione","{2,4-thiazolidinedione}",{5437},{CHEMBL85398},{CHEBI:50992},{},{}
102,(S)-(+)-Ibuprofen,{(s)-(+)-ibuprofen},{39912},{CHEMBL175},{CHEBI:43415},{},{}
103,Deferiprone,{deferiprone},{2972},{CHEMBL70927},{CHEBI:68554},{},{D07416}
104,Ipriflavone,{ipriflavone},{3747},{CHEMBL165790},{CHEBI:31719},{},{D01338}
105,Rimantadine Hydrochloride,"{rimantadine,rimantadine hydrochloride,rimantadine}",{15165},"{CHEMBL535396,CHEMBL1200355}",{CHEBI:8865},"{C08094,C07236}",{D00901}
106,"N,N-Dimethylethanolamine","{n,n-dimethylethanolamine}",{7902},{CHEMBL1135},{CHEBI:271436},{},{}
107,Acetanilide,{acetanilide},{904},{CHEMBL269644},{CHEBI:28884},{C07565},{}
108,10-Undecynoic Acid,{10-undecynoic acid},{31039},{},{},{},{}
109,(S)-(+)-Norepinephrine L-Bitartrate,{(s)-(+)-norepinephrine l-bitartrate},{168929},{},{},{},{}
110,Sodium Iodide,{sodium iodide},{5238},{CHEMBL1644695},{CHEBI:33167},{C14042},{D04874}
111,Calcium Bromide,{calcium bromide},{5360316},{CHEMBL2105852},{CHEBI:31338},{C13189},{D01723}
112,Lidofenin,{lidofenin},{42963},{CHEMBL1400608},{CHEBI:135229},{},{D04730}
113,Lithium Bromide,{lithium bromide},{82050},{},{CHEBI:63042},{},{D08135}
114,Tramadol Hydrochloride,"{tramadol,tramadol hydrochloride,tramadol}",{63013},{CHEMBL1200336},{CHEBI:75733},{C07153},{D01355}
115,Tellurium Dioxide,{tellurium dioxide},{62638},{},{},{},{}
116,Dodecylamine,{dodecylamine},{13583},{CHEMBL109904},{},{},{}
117,N-Ethyl-N-Isopropylaniline,{n-ethyl-n-isopropylaniline},{4193577},{},{},{},{}
118,Acitretin,{acitretin},{5284513},{CHEMBL1131},"{CHEBI:50173,CHEBI:50172}",{},{D02754}
119,Indium(I) Chloride,{indium(i) chloride},{137947099},{},{},{},{}
120,Ferrous Gluconate Hydrate,"{ferrous gluconate,ferrous gluconate hydrate,ferrous gluconate}",{16212939},{},{},{},{}
121,Chromium(III) Chloride,{chromium(iii) chloride},{24808},{},{},{},{}
122,Strontium Chloride,{strontium chloride},{5362485},{CHEMBL2219640},{CHEBI:36383},{},{}
123,Ergotamine D-Tartrate,{ergotamine d-tartrate},{9787},{CHEMBL2131781},{},{},{}
124,2-Hydroxybiphenyl,{2-hydroxybiphenyl},{7017},{CHEMBL108829},{CHEBI:17043},{C02499},{}
125,Piperonyl Butoxide,{piperonyl butoxide},{5794},{CHEMBL1201131},{CHEBI:32687},{C18880},{D08383}
126,Pyranocoumarin,{pyranocoumarin},{5794},{CHEMBL1201131},{CHEBI:32687},{},{}
127,Sulfaquinoxaline,{sulfaquinoxaline},{5338},{CHEMBL1437847},{CHEBI:94719},{},{D05952}
128,Eserine Salicylate,"{eserine salicylate,physostigmine}",{657348},{CHEMBL338975},{CHEBI:48883},{C06535},{D02418}
129,2-Benzoylcyclohexanone,{2-benzoylcyclohexanone},{275627},{CHEMBL1530511},{},{},{}
130,Dienestrol,{dienestrol},{667476},{CHEMBL1018},{CHEBI:4518},{C08090},{D00898}
131,(S)-(+)-2-Aminoheptane,{(s)-(+)-2-aminoheptane},{2734517},{},{},{},{}
132,Gentamicin Sulfate Salt Hydrate,"{gentamicin sulfate,gentamicin sulfate salt hydrate,gentamicin sulfate}",{6419933},{CHEMBL1200643},{},{C11334},{}
133,Morantel Tartrate Monohydrat,"{morantel tartrate,morantel tartrate monohydrate,morantel tartrate,paratect}","{6433951,6419965,60196268}","{CHEMBL1445794,CHEMBL3186280}",{},{},{}
134,"17beta-Estradiol 3,17-Dipropionate","{17beta-estradiol 3,17-dipropionate}",{8225},{CHEMBL1697791},{CHEBI:31560},{},{}
135,Penicilline G Potassium Salt,"{penicilline g potassium,penicilline g potassium salt,penicilline g potassium}",{23664709},{CHEMBL1223},{CHEBI:7963},{},{}
136,Pyrimethamine,{pyrimethamine},{4993},{CHEMBL36},{CHEBI:8673},{C07391},{D00488}
137,Roxarsone,{roxarsone},{5104},{CHEMBL1321154},{CHEBI:35817},{},{D05771}
138,Folinic Acid Calcium Salt Hydrate,"{folinic acid calcium,folinic acid calcium salt hydrate,folinic acid calcium,calcium folinate}",{135403647},{CHEMBL1201138},{CHEBI:31340},{},{D01211}
139,Cisplatin,"{cis-diamminedichloroplatinum(ii),cisplatin}",{5702198},{},{},{C06911},{}
140,Magnesium Bromide,{magnesium bromide},{82241},{},{},{},{}
141,Glycyrrhizic Acid Ammonium Salt,"{glycyrrhizic acid,glycyrrhizic acid ammonium salt,glycyrrhizic acid,glycyrrhizin}","{62074,656656,71587482}",{CHEMBL441687},"{CHEBI:81864,CHEBI:15939}",{C02284},{D00157}
142,Dimethyl Phthalate,{dimethyl phthalate},{8554},{CHEMBL323348},{CHEBI:4609},{C11233},{}
143,4-Methoxyphenol,"{hydroquinone monomethyl ether,mequinol}",{9015},{CHEMBL544},{CHEBI:69441},{},{D04926}
144,D-Carnitine,{d-carnitine},{2724480},{CHEMBL503189},{CHEBI:11060},{C15025},{}
145,"N-Succinyl Sulfanilamide, Sodium","{n-succinyl sulfanilamide,n-succinyl sulfanilamide,sodium,n-succinyl sulfanilamide}",{23712135},{},{},{},{}
146,Butyl 4-Hydroxybenzoate,"{butyl 4-hydroxybenzoate,butylparaben}",{7184},{CHEMBL459008},{CHEBI:88542},{},{D01420}
147,2-Benzyl-4-Chlorophenol,{2-benzyl-4-chlorophenol},{8425},{CHEMBL1328919},{},{},{}
148,2-Hydroxybiphenyl Sodium ,"{2-hydroxybiphenyl sodium,2-phenylphenol sodium}",{517383},{CHEMBL1903906},{},{},{}
149,Aluminum Chloride,{aluminum chloride},{24012},{CHEMBL3833401},{CHEBI:30114},{},{}
150,Sparfloxacin,{sparfloxacin},{60464},{CHEMBL850},{CHEBI:9212},{C07662},{D00590}
151,"3-[2,5-Bis(Bromomethyl)-4-Methoxyphenoxy]-1-Propanesulfonyl Chloride","{3-[2,5-bis(bromomethyl)-4-methoxyphenoxy]-1-propanesulfonyl chloride}",{3446491},{},{},{},{}
152,Losartan Potassium,{losartan potassium},"{11751549,23663390,11476710,9847164,3961,25749227}",{CHEMBL995},"{CHEBI:6541,CHEBI:149504}",{},{D00357}
153,Benzoyl Peroxide,{benzoyl peroxide},{7187},{CHEMBL1200370},{CHEBI:82405},{C19346},{D03093}
154,Mesna,"{sodium 2-mercaptoethanesulfonate,mesna}",{23662354},{CHEMBL975},{CHEBI:31824},{},{D01459}
155,4-(Boc-Amino)-1-[(2-Hydroxyphenyl)(Thiophen-2-Yl)Methyl]Piperidine,{4-(boc-amino)-1-[(2-hydroxyphenyl)(thiophen-2-yl)methyl]piperidine},{16217933},{},{},{},{}
156,"(+/-)-Exo,Exo-2,3-Camphanediol","{exo,exo-2,3-camphanediol,(+/-)-exo,exo-2,3-camphanediol,exo,exo-2,3-camphanediol}",{11768995},{},{},{},{}
157,N-Benzylpiperidine-4-Carboxaldehyde,{n-benzylpiperidine-4-carboxaldehyde},{89584},{},{},{},{}
158,6-Methyl-2-Thiouracil,{6-methyl-2-thiouracil},{667493},{CHEMBL1330588},{CHEBI:82346},{},{}
159,2-Naphthol,{2-naphthol},{8663},{CHEMBL14126},{CHEBI:10432},{C11713},{}
160,Sodium Benzoate,{sodium benzoate},{517055},{CHEMBL1356},{CHEBI:113455},{},{D02277}
161,Irgasan,"{irgasan,triclosan}",{5564},{CHEMBL849},{CHEBI:164200},{C12059},{D06226}
162,Nitrofurazone,{nitrofurazone},{5447130},{CHEMBL869},{CHEBI:44368},{C08042},{D00862}
163,Nystatin Dihydrate,"{nystatin,nystatin dihydrate,nystatin}",{11468707},{CHEMBL4303481},{},{C06572},{}
164,Orphenadrine Hydrochloride,"{orphenadrine,orphenadrine hydrochloride,orphenadrine}",{9568},{CHEMBL1201023},{CHEBI:60902},{C07935},{D02599}
165,Patent Blue V,{patent blue v},"{77073,77074,9916325,91873712}",{},{CHEBI:59601},{},{D11704}
166,4-Pentylphenol,{4-pentylphenol},{26975},{CHEMBL153388},{CHEBI:34441},{},{}
167,Phenacetin,{phenacetin},{4754},{CHEMBL16073},{CHEBI:8050},{C07591},{D00569}
168,Dexpanthenol,"{dexpanthenol,panthenol}",{131204},{CHEMBL1200979},{CHEBI:27373},{C05944},{D00193}
169,Phenindione,"{2-phenyl-1,3-indandione,phenindione}",{4760},{CHEMBL711},{CHEBI:8066},{C07584},{D08354}
170,Piperazine,{piperazine},{4837},{CHEMBL1412},{CHEBI:28568},{C07973},{D00807}
171,Pyrethrum,"{pyrethrum,Pyrethrin}",{71310221},{CHEMBL563221},{CHEBI:39098},{C14941},{D05659}
172,Salicylamide,{salicylamide},{5147},{CHEMBL27577},{CHEBI:32114},{},{D01811}
173,Menthyl Salicylate,{menthyl salicylate},{6970},{CHEMBL1905909},{},{},{}
174,Glucuronolactone,{glucuronolactone},"{92283,219402,129627904}",{CHEMBL1701761},{CHEBI:18268},{C02670},{}
175,D-Leucine,{d-leucine},{439524},{CHEMBL1232258},{CHEBI:28225},{C01570},{}
176,D-Tyrosine,{d-tyrosine},{71098},{CHEMBL1076637},{CHEBI:28479},{C06420},{}
177,L-alpha-Methyl-Dopa,"{l-α-methyl-dopa,methyldopa}",{38853},{CHEMBL459},{CHEBI:61058},{C07194},{D08205}
178,Tranexamic Acid,{tranexamic acid},{5526},"{CHEMBL877,CHEMBL292500}","{CHEBI:48669,CHEBI:94518}",{C12535},{D01136}
179,Tetraethylthiuram Disulfide,"{tetraethylthiuram disulfide,disulfiram}",{3117},{CHEMBL964},{CHEBI:4659},{C01692},{D00131}
180,Phenothiazine,{phenothiazine},{7108},{CHEMBL828},{CHEBI:37931},{},{D02601}
181,Triethylmethylammonium Bromide,{triethylmethylammonium bromide},{3083778},{},{},{},{}
182,"(+)-N,N-Diethylnorephedrine Hydrochloride","{(+)-n,n-diethylnorephedrine,(+)-n,n-diethylnorephedrine hydrochloride,(+)-n,n-diethylnorephedrine}",{16218765},{},{},{},{}
183,Stannous Fluoride,{stannous fluoride},{24550},{},{CHEBI:135933},{},{}
184,Atropine,{atropine},{174174},"{CHEMBL254656,CHEMBL475124,CHEMBL517712}","{CHEBI:16684,CHEBI:78734}",{C01479},{D00113}
185,P-Aminobenzoic Acid Potassium,"{p-aminobenzoic acid potassium,potassium p-aminobenzoate}",{23663628},{CHEMBL1564391},{},{},{}
186,Acetarsone,"{acetarsone,acetarsol}",{1985},{CHEMBL1330792},{CHEBI:135135},{},{D07110}
187,Alverine Citrate,{alverine citrate},{21718},{CHEMBL1408594},{CHEBI:53785},{},{D02877}
188,Aloin,{aloin},"{12305761,9866696,14989,313325,12305763,24212135,124427842,129628814}","{CHEMBL2103763,CHEMBL497001,CHEMBL3617994,CHEMBL123026}","{CHEBI:2991,CHEBI:73222,CHEBI:74131}","{C10305,C17778}",{}
189,8-Anilino-1-Naphthalenesulfonic Acid,{8-anilino-1-naphthalenesulfonic acid},{1369},{CHEMBL285527},{CHEBI:39708},{},{}
190,Amantadine Hydrochloride,"{amantadine,amantadine hcl,amantadine}",{64150},{CHEMBL1569},{CHEBI:2619},"{C06818,C07939}",{D00777}
191,Amoxapine,{amoxapine},{2170},{CHEMBL1113},{CHEBI:2675},{},{D00228}
192,Aminobenztropine,{aminobenztropine},{2143},{CHEMBL330957},{CHEBI:125384},{},{}
193,Acemetacin,{acemetacin},{1981},{CHEMBL189171},{CHEBI:31162},{},{D01582}
194,Aminophylline,{aminophylline},{9433},{CHEMBL1370561},{CHEBI:2659},{},{D00227}
195,Amikacin Sulfate 1:2,"{amikacin sulfate,amikacin sulfate 1:2,amikacin sulfate}","{38351,37768,5458175,86619108}","{CHEMBL4208954,CHEMBL177,CHEMBL1164318}","{CHEBI:2638,CHEBI:2637}",{},{D00865}
196,Acetohexamide,{acetohexamide},{1989},{CHEMBL1589},{CHEBI:28052},{C06806},{D00219}
197,Ascorbic Acid 6-Palmitate,{ascorbic acid 6-palmitate},{54680660},{CHEMBL220190},{CHEBI:140768},{},{}
198,Apramycin Sulfate,{apramycin sulfate},{3081544},{},{},{},{}
199,Mafenide,{mafenide},{3998},{CHEMBL419},{CHEBI:6633},{C07106},{D02351}
200,Warfarin(R),{warfarin},{54678486},"{CHEMBL1464,CHEMBL7252}",{CHEBI:87732},{C01541},{D08682}
201,Methacholine Chloride,{methacholine chloride},{6114},{CHEMBL1200764},{CHEBI:50142},{},{D04970}
202,Adenosine 5'-Monophosphate,"{adenosine 5'-monophosphate,amp}",{6083},{CHEMBL752},{CHEBI:16027},{C00020},{}
203,5-Azacytidine,{5-azacytidine},{9444},{CHEMBL1489},{CHEBI:2038},{C11262},{}
204,Amcinonide,{amcinonide},{443958},{CHEMBL1200732},{CHEBI:31199},{},{D01387}
205,D-Arginine,{d-arginine},{71070},{CHEMBL212301},{CHEBI:15816},{C00792},{}
206,Amodiaquine Dihydrochloride Dihydrate,"{amodiaquine,amodiaquine dihydrochloride dihydrate,amodiaquine}",{64646},{CHEMBL1357648},{CHEBI:50652},{C07626},{D02466}
207,Astemizole,{astemizole},{2247},{CHEMBL296419},{CHEBI:2896},{C06832},{D00234}
208,Aminopterin,{aminopterin},{169371},{CHEMBL376180},{CHEBI:22526},{},{}
209,5-Aminosalicylic Acid,"{5-aminosalicylic acid,mesalazine}",{4075},{CHEMBL704},{CHEBI:6775},{},{D00377}
210,Acebutolol Hydrochloride,"{acebutolol,acebutolol hydrochloride,acebutolol}",{441307},{CHEMBL1200813},{CHEBI:2380},"{C07677,C06803}",{D00597}
211,Artesunate,{artesunate},"{6917864,65664,5464098,156252,105031,16394563,53486426,9821433,126963478,129317578,146160078,49769200,60196289,91746179,129009911}","{CHEMBL361497,CHEMBL353548,CHEMBL3039774,CHEMBL1967249}","{CHEBI:63918,CHEBI:94751}",{},{D02482}
212,P-Aminohippuric Acid Sodium,{p-aminohippuric acid sodium},{23663628},{CHEMBL1564391},{},{},{}
213,Antazoline Phosphate,{antazoline phosphate},{158798},{CHEMBL1200550},{},{},{D02950}
214,Tacrine Hydrochloride,"{tacrine,tacrine hydrochloride,tacrine}",{2723754},{CHEMBL1677},{},{C01453},{D02068}
215,delta-Aminolevulinic Acid Hydrochloride,"{delta-aminolevulinic acid,delta-aminolevulinic acid hydrochloride,delta-aminolevulinic acid}",{123608},{CHEMBL1200582},{CHEBI:132969},{},{}
216,Amrinone,{amrinone},{3698},{CHEMBL12856},{CHEBI:2686},{},{D00231}
217,17alpha-Acetoxyprogesterone,"{17a-acetoxyprogesterone,medroxyprogesterone acetate}",{6279},{CHEMBL717},{CHEBI:6716},{C08150},{D00951}
218,Arbutin,{arbutin},{440936},{CHEMBL232202},{CHEBI:18305},{C06186},{}
219,R(-)-Apomorphine Hydrochloride Hemihydrate,"{r(-)-apomorphine,r(-)-apomorphine hydrochloride hemihydrate,r(-)-apomorphine}",{107882},{CHEMBL3187985},{CHEBI:31228},{},{}
